value,params_backbone,params_batch_size,params_center_crop_key,params_coreset_sampling_ratio,params_image_size_key,params_layers_key,params_max_patches_per_image,params_num_neighbors,params_pre_trained,params_reduction,params_soft_corruption_level,params_soft_review_budget,params_soft_train_fraction
0.15827338129496402,resnet34,16,none,0.021,224,l2,512,2,True,max,mild,0.295,0.68
0.08558558558558559,resnet50,16,none,0.081,320,l2_l3,256,26,False,max,strong,0.165,0.2
0.24795640326975477,resnet34,16,0.875,0.025,224,l2,512,6,True,max,mild,0.5,0.93
0.13962264150943396,resnet18,16,0.875,0.023,224,l3,256,18,False,max,none,0.265,0.95
0.20202020202020202,wide_resnet50_2,8,none,0.039,256,l2,1024,6,True,mean,none,0.11,0.4
0.10793650793650794,resnet18,8,0.875,0.015,256,l2,128,22,True,mean,none,0.38,0.59
0.702247191011236,resnet34,8,none,0.041,256,l1_l2_l3,1024,9,False,max,mild,0.475,0.45
0.12536443148688048,resnet50,16,0.875,0.053,320,l2,128,27,True,mean,none,0.445,0.41
0.368,resnet34,8,0.875,0.085,224,l2_l3,512,30,True,max,mild,0.23,0.65
0.13664596273291926,resnet34,8,0.875,0.027,320,l2_l3,512,27,False,max,none,0.025,0.93
0.27669172932330827,wide_resnet50_2,16,0.875,0.055,224,l1_l2_l3,1024,17,True,max,strong,0.42,0.48
0.0,resnet18,16,0.875,0.003,256,l2,512,3,False,mean,none,0.01,0.52
0.5749318801089919,resnet18,16,none,0.055,224,l3,256,6,True,max,strong,0.5,0.52
0.18047882136279927,resnet18,8,0.875,0.065,224,l2,1024,24,True,mean,strong,0.28,0.41
0.061855670103092786,wide_resnet50_2,16,0.875,0.075,224,l3,128,2,False,mean,strong,0.325,0.31
0.23835616438356164,resnet50,16,0.875,0.053,320,l2_l3,256,18,False,max,none,0.495,0.66
0.014527845036319613,resnet50,16,none,0.063,256,l2,128,16,False,mean,none,0.13,0.65
0.10674157303370786,resnet50,8,none,0.093,320,l2,256,13,True,max,strong,0.475,0.2
0.5567010309278351,resnet34,16,none,0.047,224,l2_l3,512,12,True,mean,strong,0.325,0.67
0.14579439252336449,wide_resnet50_2,8,none,0.099,256,l1_l2_l3,128,9,True,max,mild,0.27,0.44
0.1839080459770115,resnet18,8,none,0.035,224,l1_l2_l3,128,21,True,mean,mild,0.255,0.64
0.21511627906976744,resnet18,8,none,0.095,320,l3,512,18,True,mean,mild,0.05,1.0
0.4365482233502538,resnet18,16,0.875,0.049,224,l3,512,22,True,max,strong,0.335,0.3
0.4011299435028249,resnet34,16,none,0.003,256,l1_l2_l3,512,28,False,max,none,0.47,0.63
0.0774818401937046,resnet18,16,0.875,0.087,256,l2,128,13,False,max,none,0.13,0.66
0.7607726597325408,resnet34,16,0.875,0.073,256,l3,512,12,True,max,strong,0.43,0.33
0.07624633431085044,resnet18,16,none,0.005,256,l2,128,26,True,mean,strong,0.44,0.58
0.143646408839779,resnet18,8,none,0.039,256,l1_l2_l3,128,27,True,mean,strong,0.28,0.94
0.2972972972972973,resnet34,8,none,0.021,256,l3,512,30,True,mean,mild,0.165,0.42
0.03825136612021858,resnet50,16,0.875,0.039,224,l3,256,26,False,max,mild,0.075,0.51
0.024439918533604887,resnet50,16,none,0.011,224,l2,512,22,False,mean,strong,0.22,0.93
0.44639718804920914,resnet18,8,none,0.081,224,l3,256,23,True,max,mild,0.31,0.43
0.16,resnet50,16,none,0.017,224,l1_l2_l3,1024,24,True,max,mild,0.23,0.7
